id,created_at,text
748920867212566528,2016-07-01 16:47:03,No need for presidential suites at Trump Hotels. See why Donald Trump couldn't stay at his own hotels as president: https://t.co/6yNEWP7wzO
748868501717262336,2016-07-01 13:18:58,"Fact: As president, Donald Trump couldn't stay in his own hotels. Get the data on the @enigma_io blog: https://t.co/6yNEWOPVIg"
745994466138402816,2016-06-23 14:58:35,Congrats to the all the companies participating in #FILNYDemoDay! Thrilled to have great companies joining the @FinTechLab alumni ranks.
745630634190700544,2016-06-22 14:52:50,"""We think data is extremely early. It's the 1980s."" - @merinids on the current state of data usage within orgs #LFTCNYC @FrenchTouchConf"
745627969465499648,2016-06-22 14:42:15,"""Successful data solutions are those that are repeatable and scalable to solve complicated problems."" - @merinids #LFTCNYC"
745625283856834560,2016-06-22 14:31:35,"""Our value add is bringing public data sets and linking with private data sets."" - our CEO @merinids at #LFTCNYC https://t.co/NPj96Gapo8"
741063857448194048,2016-06-10 00:26:06,We are thrilled that VCs and investors are saying we’re one of the hottest startups in America! https://t.co/w8iPS14M0o
741028908447981568,2016-06-09 22:07:14,RT @FinTechLab: #FinTechLabNYC alum @enigma_io presenting @CBinsights @merinids #FutureFintech https://t.co/ynVoNGQZfx
740990911304323073,2016-06-09 19:36:14,RT @DataSmartCities: New post! Predicting Fire Risk: From New Orleans to a Nationwide Tool https://t.co/SOtnGOmSwU @ojwise @enigma_io
740977445684285440,2016-06-09 18:42:44,"RT @BNarasin: The 11 Hottest Companies in the Country, According to Investors @subes01 https://t.co/LA3pVOOAqT via @Inc Portfolio Pride @en…"
739843049912569858,2016-06-06 15:35:03,"""ParseKit approaches ETL the same way I approach ETL."" - data engineer @alwayscheming talks #ParseKit on the blog: https://t.co/mHXkzipcjv"
732990906056495105,2016-05-18 17:47:04,We’re proud to see that @enigma_io engineer @AlwayScheming was featured in the @ColumbiaSpec: https://t.co/9esw308mGl
732954652107411456,2016-05-18 15:23:01,"Data does a city good! New Orleans receives awards for using data to eliminate a backlog of blighted properties
https://t.co/0NRQub3Af5"
731137184288235520,2016-05-13 15:01:03,"""Getting data where it needs to be is a non-trivial task"": Why we built our new infrastructure #ParseKit https://t.co/SoO3ZBFtHU"
730779928443142144,2016-05-12 15:21:26,RT @Cezary: Check out #ParseKit from @enigma_io: new infrastructure for scaling data ops and getting data where it needs to be: https://t.c…
730480766178738176,2016-05-11 19:32:40,RT @jatorre: Nice launch from @enigma_io on #ParseKit Cant wait to have a @cartoDB connector to it https://t.co/adZgSPenBt :)
730460188222869504,2016-05-11 18:10:54,"Introducing #ParseKit, our new infrastructure for building and managing data pipelines: https://t.co/s0DtTqmroo https://t.co/CSJN2OoIC6"
730457358053289984,2016-05-11 17:59:40,.@merinids says thousands of data sets being refreshed daily at @enigma_io. #ParseKit was built by us for us - now available for you
730457109268185088,2016-05-11 17:58:40,@merinids asks what's next?Answer requires massive orchestration &amp; data to flow in pipelines - enter #ParseKit #TCDisrupt
730456513916096512,2016-05-11 17:56:18,Battlefield alumn @merinids boasts broadest array of data to help the most sophisticated orgs solve todays data challenges  #TCDisrupt
730455198368452608,2016-05-11 17:51:05,Discover what the @enigma_io team has been up to since 2013 Disrupt NY win! @merinids up next! https://t.co/4q5qHNCuap
730452166960238594,2016-05-11 17:39:02,Our live #tcdisrupt update streams in 5 minutes. See you there: https://t.co/hOzJgRAIxE https://t.co/K1wshU5lVg
730404665188225024,2016-05-11 14:30:17,Frustrated with managing data ops? We get that. Catch our product unveiling at 1:45pm EST at #tcdisrupt. Watch live: https://t.co/hOzJgRAIxE
730092512547835905,2016-05-10 17:49:54,Our CEO @merinids unveils major product news tomorrow at 1:45pm at #tcdisrupt. Can't attend? Watch the livestream! https://t.co/hOzJgRj7G6
729798201625198592,2016-05-09 22:20:24,RT @alyssapwright: b/c some people are friends with maps. &amp; some #geonyc are all-female line-ups. #justhappens tonight! https://t.co/FsT4wM…
727849346809667584,2016-05-04 13:16:21,"RT @MPFlowersNYC: Measure, Manage, Conserve ... Proud to be part of the solution for California Water @enigma_io https://t.co/cmgubaAcso"
722113740523483137,2016-04-18 17:25:06,RT @ojwise: @gideonmann - Thanks for the shout out to #NOLAlytics and our partnership with @enigma_io in this post! https://t.co/TI9gE80Tsm
714635945824415745,2016-03-29 02:11:01,"RT @merinids: ""Data"" way earlier than people believe it is. In the @enigma_io office we have enshrined this principle: https://t.co/exKjDaF…"
712741829268148224,2016-03-23 20:44:28,RT @FinTechLab: Fireside chat from this month's @EmpireStartups FinTech Meetup with #FinTechLabNYC alum @enigma_io https://t.co/SAQujERupZ
711686409833332736,2016-03-20 22:50:37,"RT @the_power_grid: Sand Drag LLC (2011) is a 19 MW, Solar Plant in KINGS County, CA (35.983,-120.11) https://t.co/y61teincfy"
707574737359208449,2016-03-09 14:32:18,RT @CleanWebBos: Checkout 5th annual #Boston #Cleanweb #hackathon at @logmein 4/1-4/3 https://t.co/ifUAB3UQd4 @GreentownLabs @UtilityAPI @e…
707574669944160257,2016-03-09 14:32:02,RT @t_s_institute: Smoke Signals: #TaylorSwift &amp; analytics for preventing fire deaths https://t.co/m0QfL0Hu4O
707574593511358467,2016-03-09 14:31:43,RT @ThinkRiseNY: Hear from data expert &amp; founder of @enigma_io Marc DaCosta at Thursday's fireside chat w/ @techstars: https://t.co/wuGIfr5…
707574475202674688,2016-03-09 14:31:15,RT @BridgetScallen: @mapzen @cartoDB @enigma_io Thanks for your welcome to OSM and for sharing the skills + space to make visible sites + s…
705804442554253312,2016-03-04 17:17:46,Join us at the Inclusive Mapping Party for #IWD2016 where we’ll be improving @openstreetmap data 4 inclusion @mapzen https://t.co/56A29isrVE
700029932412518400,2016-02-17 18:51:56,RT @bsesser: Lunch and learn at @enigma_io with @MonaChalabi. Awesome perspective on using data in journalism. Thanks for coming! https://t…
697860086031523840,2016-02-11 19:09:44,RT @FirstMarkCap: Don't miss #DataDrivenNYC on 2/16 with @pluralsight @Neustar @enigma_io and @cartoDB! https://t.co/svbgRzEgFj
695370205510258696,2016-02-04 22:15:51,Laissez les bons temps rouler! Thanks @ojwise &amp; the NoLA team for a little piece of the celebrations. https://t.co/jjjWp7vZxJ
689514377976877061,2016-01-19 18:26:52,Check out this yo generator for React apps we just released https://t.co/bjfRMLm7gy … #webdev #js #reactjs #yeoman
688054325868912640,2016-01-15 17:45:09,RT @yaycmyk: A yo generator for React apps that works flawlessly! https://t.co/EuaqjlvjIc #webdev #js #reactjs #yeoman
687028163021541378,2016-01-12 21:47:33,"@Datapolitan Yes, they were! We especially liked your quote, ""If you stay in the brine for long enough, you'll get pickled."""
687027912386736129,2016-01-12 21:46:33,Thanks to @Datapolitan for swinging by for today's Lunch &amp; Learn. We love the work you're doing to bring government into the 21st century.
686956692622422016,2016-01-12 17:03:33,Images of the anthropocene today from @SciFleur https://t.co/bItm1ZEdzT https://t.co/Q46N21QI19
685580177888415745,2016-01-08 21:53:46,that time we got all the 1963 @FortuneMagazine for the office library -- apparently those telex machines are amazing https://t.co/njlofTDdAm
684463159596421120,2016-01-05 19:55:08,@patwater sometimes qualifiers fall away in 140 characters #trustindata
677521047621619712,2015-12-17 16:09:40,Where did New Yorkers come from? https://t.co/J17BKwmTJn
677229080337588224,2015-12-16 20:49:29,After #cop21 we decided to explore the data around nuclear power generation https://t.co/tXIA39yX4l https://t.co/kNmKwnk406
674695278755233792,2015-12-09 21:01:04,The oldest company in the California Corporate Registry? THE ALTOONA QUICKSILVER MINING COMPANY incorporated 1875 https://t.co/XxELVaIrN3
674330571498221571,2015-12-08 20:51:51,@manuelaristaran @pudo @merinids carpe datum :)
674329887298166784,2015-12-08 20:49:08,Amazing lunchtime talk at @enigma_io today by @gilgul about online conversation and @betawork's exciting new project https://t.co/D4Sq1SBZEj
674243640785547265,2015-12-08 15:06:25,RT @brnstz: One year at @enigma_io and they still won't tell me the today's rotor settings. SJKLUKKXCNUNDWDDNXNSALRKUUKDHVXNFJWTNWCZEPGDCQX…
674243548745699329,2015-12-08 15:06:03,RT @SunFoundation: Our Influence Explorer tool makes it easy to find stats + insights about the 2016 money race https://t.co/BsMhknpBPg htt…
673981433380249605,2015-12-07 21:44:30,HT to Australia:  Geocoded national address data to be made openly available https://t.co/yu8jo3wJdn
673980992017866753,2015-12-07 21:42:45,"This is the most important survey in America, but it keeps getting defunded #acs @uscensusbureau @voxdotcom https://t.co/vVpZp1rQDu"
672886201557385217,2015-12-04 21:12:26,"RT @waldojaquith: CA, FL, MA, PR, and VA: The only states in which documents are public domain by default. Get it together, U.S. https://t.…"
672870480802684929,2015-12-04 20:09:58,@MuckRock @MarshallProj @ShawnMusgrave might be of interest cc @MargotWilliams
672869854383366147,2015-12-04 20:07:29,"RT @MuckRock: ""If the government says no you can't have something, that in itself is a news story."" MuckRock talks to @muckrakery https://t…"
672831093574340609,2015-12-04 17:33:27,Are you in NYC? Should your apartment be rent stabilized? @Cezary &amp; @ProPublica are hunting for cheating land lords https://t.co/zhORo0xAeY
667437124216557573,2015-11-19 20:19:45,RT @digiphile: This map uses #opendata to estimate the risk of smoke alarms not being installed is highest: https://t.co/QMppUmQETX https:/…
661272681082392576,2015-11-02 20:04:27,The Enigma of Running a Bicoastal Series B Venture Round in @Forbes by @EdGrapeNutZimm https://t.co/xvQQcfKwsf
661237319282925568,2015-11-02 17:43:56,"Job seeking? Know someone great? We're hiring for a number of really interesting positions, pass the good word along https://t.co/6nVnQoSEhQ"
660129574055886848,2015-10-30 16:22:09,RT @internetrebecca: Nice to hear about the @enigma_io smoke alarm project from @marc_dacosta too! ICYMI #safetydata: https://t.co/DvJNu3RT…
659748971146051584,2015-10-29 15:09:46,"Our new product Company Signals launched earlier this week. It makes lending decisions smarter, faster, and cheaper. https://t.co/TF734zNDFF"
659075356570361857,2015-10-27 18:33:04,"RT @MPFlowersNYC: Using public data to unlock capital for small &amp; medium sized businesses, which make up 46% of USA’s GDP. @enigma_io https…"
659052892754726914,2015-10-27 17:03:48,"Bahn-mi meets business loans. Today at @money2020 we launch Company Signals, an API for small business intelligence https://t.co/1rMQMOABqr"
658756607480737792,2015-10-26 21:26:28,"Mic check! We're at @money2020 &amp; presenting tomorrow, 3:40P, 
Delfino 4001-4103, The Venetian Level 4. Drop on in! https://t.co/4QgwbHmkBz"
654733164623978496,2015-10-15 18:58:45,RT @NEAVC: #database passion from @Tamr_Inc @MongoDB @enigma_io leaders at #neasummit @NEAVC http://t.co/l3zm28tBRi
654703435732770816,2015-10-15 17:00:37,We'll be presenting at #money2020 and would love connect w/people there! Send us DM @NEAVC @ComcastVentures @CrosslinkCap @money2020
654295006107316224,2015-10-14 13:57:40,We're looking forward to demo-ing our #opendata project Smoke Signals with @NYUEntrepreneur  https://t.co/HAV14PlOmv
653611671722827777,2015-10-12 16:42:20,"There's no better way to start off Monday than your CEO's face, on toast - thanks @money2020 for the  awesome gift! http://t.co/mckTb7fbhX"
652495142834819072,2015-10-09 14:45:39,"RT @MargotWilliams: @enigma_io ""This is magic! ... The best thing that has happened to journalism in years"" --@gianninasegnini #gijc15"
651793166375514112,2015-10-07 16:16:15,An amazing line up at this month’s #geonyc on Monday — from digitizing old maps to new ways to tell stories w them http://t.co/uCcJTYNUHQ
649233519844139008,2015-09-30 14:45:07,RT @flowingdata: Open data in use. Predicting areas in need of working fire alarms to prevent deaths http://t.co/wAwusiSo3g http://t.co/Ka7…
648920598135967744,2015-09-29 18:01:41,RT @fema: Another example of #opendata &amp; analytics http://t.co/mdQXVzsHF5 working towards reducing the risk of #homefires.
648542678225977344,2015-09-28 16:59:58,RT @NEAVC: The @Bloomberg #data for good exchange today features @enigma_io's @marc_dacosta presenting on #smokesignals http://t.co/RgAMcvO…
647599788742045696,2015-09-26 02:33:16,RT @codeforamerica: This Week in #CivicTech: @enigma_io uses open #data to predict buildings missing smoke alarms http://t.co/BPmRzm897h ht…
647416274419625985,2015-09-25 14:24:02,RT @motherboard: The smart map using open data to prevent fire tragedies: http://t.co/hjOmp2h1Av http://t.co/BXdTSc8fU3
647402978064891904,2015-09-25 13:31:12,We just released an app with the @datakind that is helping save people from dying in fires. #opendata  http://t.co/vS5TduJtPj
647151809358876672,2015-09-24 20:53:09,@vtcraghead you might say they're smokin' ;)
647145297127337985,2015-09-24 20:27:16,RT @andrewxhill: Smoke Signals is a really cool project http://t.co/7IEJpsr21c congrats @enigma_io! http://t.co/nWHEisEUW3
647116394539130880,2015-09-24 18:32:25,"@mheadd Also, make sure to read through our walkthrough of the modeling process: http://t.co/k08TWH04lj. The holy grail is inspection data."
647116059791753216,2015-09-24 18:31:06,"@mheadd since fires are relatively rare events, we would think that the more time the better."
647115825489551360,2015-09-24 18:30:10,"@mheadd Yes, ideally it should be for an entire city, since we'd need to know places there _aren't_ fires as well."
647104997621145600,2015-09-24 17:47:08,RT @gideonmann: Fantastic to see collaboration across industry @enigma_io and public sector @ojwise scale social good via openness. https:/…
647104951286657024,2015-09-24 17:46:57,RT @mheadd: Important work from @enigma_io - identifying neighborhoods at risk for lack of smoke detectors in homes. http://t.co/oCpzOkwuU8…
647081366685937665,2015-09-24 16:13:14,RT @drewconway: Fantastic work by my friends at @enigma_io: geo analysis of smoke risk from house fires based on open data http://t.co/dQse…
647076533102903296,2015-09-24 15:54:02,"We just released an app that predicts America's fire risk, block by block @redcross @datakind #NOLAlytics http://t.co/vS5TduJtPj"
642145682959171584,2015-09-11 01:20:35,"We open sourced a lightweight, portable, and robust Command-Line @pagerduty trigger utility https://t.co/mb42ATsqb6"
641954050955677696,2015-09-10 12:39:07,Congrats to our friends over at @cartoDB on their Series B fundraising!
636334360036274176,2015-08-26 00:28:28,.@BillionOyster is restoring the NYC Harbor to the vibrant ecosystem Henry Hudson described ~ 500 years ago. http://t.co/xnFR5RQCUu #dataio
636327301395935232,2015-08-26 00:00:25,".@jackiewtlu describes how the @nyctreescount leverages open source tools to generate #opendata and build community.

#dataio"
634418459951169536,2015-08-20 17:35:22,"Equal parts meditation on 'place' and  sig. OS release – ""Who's On First"" – a dataset of the world from @mapzen 

https://t.co/Ik1ap8taHF"
634097945869201408,2015-08-19 20:21:45,Thanks @Greenhouse for the afternoon snack from @SiftDessertBar! It said to wait 4 hours but we ate them immediately! http://t.co/ESfVG675sZ
632209191877353472,2015-08-14 15:16:31,"RT @mapzen: It’s our 2nd birthday! You don’t have to get us anything, really. Just sign up for an API key and make a map. https://t.co/XBvk…"
631138300082941953,2015-08-11 16:21:11,Did you know health inspection violations at restaurants can tell you about how well its workers are treated? http://t.co/XJlNh6CdZa
629290865685602304,2015-08-06 14:00:08,"In NYC on Aug 25? Come join us at ""A Million Trees, A Billion Oysters, Trillions of Germs: Enumerating Urban Nature"" http://t.co/YMKp4OTsVC"
628629132277096448,2015-08-04 18:10:39,"Proud to have played a part in #NOLAlytics enterprising work over the past year:

http://t.co/DhADAFF1NI"
628612384509267968,2015-08-04 17:04:06,#enigmaindex @ChesterCheetah @DeptofDefense http://t.co/oIkLSF32o3
627124082362880000,2015-07-31 14:30:07,"Messy data and even messier restaurants – we show how to surface poorly managed restaurants with public data: 
http://t.co/XJlNh6kCAA"
626812763080368128,2015-07-30 17:53:02,RT @IanJKalin: .@enigma_io cleansed @uscensusbureau data. Helping people better understand and use info. http://t.co/cYMiXqRuxv #CDACmtg
624375291343970304,2015-07-24 00:27:24,"RT @brianboyer: Civic data hackers!

@cacivicdata has a job for you.

http://t.co/9oDO1nfpPY

These folks are the best in the business. Wor…"
624322649347338241,2015-07-23 20:58:13,Our commitment to #opendata: Tools to build your own geocoder http://t.co/BmEKpZ3WxG &amp; a merge of 2 @census datasets http://t.co/QvdwJHpfPT
623958879987236868,2015-07-22 20:52:44,RT @AlPoirier1: Seeking solutions for a Safer City. Partnering &amp; Innovating with Enigma @MPFlowersNYC @abhinemani @jnvido #FireStatLA http:…
623899974825299968,2015-07-22 16:58:40,RT @JoeGermuska: W00t! Congrats to @palewire @aboutaaron @j_la28 and @cephillips for getting @knightfdn funding for @cacivicdata http://t.c…
623887469897981952,2015-07-22 16:08:58,"Ever wanted to run your own geocoder? We'll show you how to do it: 
http://t.co/BmEKpYMlG8"
619668232518152193,2015-07-11 00:43:14,@vnaylon In conjunction. We've built some bots that link the two. Look out for a blog post on this soon!
618453115260510208,2015-07-07 16:14:47,We just open-sourced our mapping of two @census datasets that help drive #CivicTech. Read more on our blog: http://t.co/pMXmUyjPUy
608277954502791168,2015-06-09 14:22:20,"City Analytics? ""Do what you can, With what you have, Where you are.” @MPFlowersNYC on NY’s data driven approach http://t.co/TvT5x17WEK"
608025963889229824,2015-06-08 21:41:01,@marihuertas @hyper_linda We're always looking for people passionate about #CivicTech !
607967291502821376,2015-06-08 17:47:52,.@discourse is an amazing product. We’ve been using it here at Enigma for the last month and its fundamentally changed our internal comms.
606943122006736897,2015-06-05 21:58:11,RT @bradleyhope: See the network of the hundreds of alleged connections in the Libor scandal. http://t.co/hlZxdRrwQn via @WSJGraphics
606943108597555200,2015-06-05 21:58:08,"@bradleyhope @WSJGraphics amazing use of graph visualizations, really brings the intrigues of the story to life"
606926293658161152,2015-06-05 20:51:19,@DickTim See our post: http://t.co/eS2usRXMoL
606175620696010752,2015-06-03 19:08:24,@ScottMcGrew Sounds great! Is there an email address we can contact you at?
606169527110537217,2015-06-03 18:44:12,"@ScottMcGrew Looks like it was “N168DK”, but the flight history is no longer accessible on Flight Radar: http://t.co/QET9v2dHEo"
606156800723984385,2015-06-03 17:53:37,"Most of the planes appear to have been registered between 2010-2011:
http://t.co/eS2usRXMoL http://t.co/MGOsAiXGhb"
606156571731718144,2015-06-03 17:52:43,"We updated our list of suspected FBI Planes to 115: 
http://t.co/eS2usRXMoL
You can also download the code / data: 
https://t.co/Vf2ZzlsGAI"
606118805618741248,2015-06-03 15:22:39,"@ScottMcGrew @enigma_io Not sure, we’ll check!"
605870255861211138,2015-06-02 22:55:00,"Great work!  Seems like ""AIRCRAFT ASSOCIATES INC” is associated with the same address as “AEROGRAPHICS INC” in VA:
https://t.co/fJ6dLKH3qb"
605868695626186753,2015-06-02 22:48:48,@lemonodor @enigma_io Amazing! Are you working off of FAA data as well?
605848836179820544,2015-06-02 21:29:53,"RT @brianabelson: Children’s drawings or FBI Surveillance?

http://t.co/curCMjA5uY http://t.co/tdFeDpuRNj"
605847141018238977,2015-06-02 21:23:09,"We updated our blog post with more images of @FBI flight paths. 
http://t.co/eS2usSfngj
Did you find an interesting one? Send it to us!"
605836348675604480,2015-06-02 20:40:16,"Here’s the flight path of an FBI surveillance aircraft over Palo Alto, CA http://t.co/PatrVo5iBk"
605832821798633472,2015-06-02 20:26:15,"Following the @AP’s investigation, we dug through FAA data to find 84 Planes the FBI uses for surveillance:

http://t.co/eS2usSfngj"
605020678660739072,2015-05-31 14:39:05,RT @IDEASCITY: Researchers: Airbnb has one of the largest existing archives of photographs of interiors. @AIRBNBPavilion @rhizome @newmuseu…
604652434074574848,2015-05-30 14:15:48,RT @tegabrain: strangely obsessed with these new trig demos I’m making at #p5jscon w/ help from @luisa_ph http://t.co/sYYDlFrBic
601150916562157568,2015-05-20 22:22:02,Really fascinating conversation around #PoliceData. Thanks @DJ44 for your thoughtful responses!
601115929766928385,2015-05-20 20:03:00,"How will #PoliceData help drive community engagement, and not just public safety?"
585514222429298688,2015-04-07 18:47:23,Saving lives with public data: read about our work with #NOLAlytics to help New Orleans prevent fire deaths http://t.co/TEy7iwBmbl
581909253276962816,2015-03-28 20:02:31,big thanks to @ColumbiaCCE for putting on a great event yesterday at #CCEStartup! really impressed by the caliber of the students
569924379162882048,2015-02-23 18:18:55,"Shipments from China fall off significantly following their New Year!
http://t.co/pTCzOh4DEx
by @RalucaDragusanu http://t.co/GRsC41nBNB"
564920438435119104,2015-02-09 22:55:02,RT @merinids: Looking forward to @enigma_io hosting the @WomenWhoCodeNYC Hack Night tomorrow night. Come hang out and hack. http://t.co/vjt…
564867048745209858,2015-02-09 19:22:53,RT @SunFoundation: A huge win for #opengov! The U.S. is releasing indexes that detail exactly what data sets each federal agency holds: htt…
563098629146427393,2015-02-04 22:15:49,RT @pdewost: @enigma_io 's Michael Flowers telling his amazing story at @randhindi 's #datadinner http://t.co/Nwyr7KoPuU
560443861991182337,2015-01-28 14:26:43,RT @mikeolson: Data storage and visualization over 7.5 millennia. http://t.co/D4HJvEhrPW h/t @datakind
555201934114951168,2015-01-14 03:17:10,@shootbydaylight @Baron_von_Brunk our roof is available for any Lego (and Astronaut) based photo shoots.
553207275838398464,2015-01-08 15:11:07,"RT @brianabelson: Hi internets, I am looking for a talented front end dev for my team @enigma_io. Would prefer full-time but will consider …"
548712197816602624,2014-12-27 05:29:17,RT @chris_whong: .@capntransit @TransportNation @NYURudin @RegionalPlan NYC Boro Taxi Data is here for Download:http://t.co/TMDcQJxxU4 http…
547063458924331009,2014-12-22 16:17:47,"Honored to have been included on @flowingdata’s list of 2014’s best visualizations alongside @mbostock @upshotnyt 

http://t.co/ooCANCnHhf"
545638366386331648,2014-12-18 17:54:58,"pleased to have our work on http://t.co/ImoB86J2uB included on this list of the year’s 15 best infographics
https://t.co/Z8trNvxl6g"
545636398989328386,2014-12-18 17:47:09,"RT @brianabelson: The @enigma_io team open sourced `s3plz` today –  a friendly python module for sending data to/from Amazon S3.

https://t…"
537280201160654849,2014-11-25 16:22:36,Congress: don't ban @SEC_News from collecting #opendata from most companies! @DataCoalition in @TheHill: http://t.co/VDZICuVFko #datanotdocs
532587464779890688,2014-11-12 17:35:21,Nervously awaiting results for this year’s #IIBAwards.  Such an honor to be included on this year’s shortlist for http://t.co/sd3I7YD9fZ !
526061262002995200,2014-10-25 17:22:33,RT @infobeautyaward: We know average temperatures are rising: but are extremes &amp; anomalies on the up as well? Great work from @enigma_io ht…
516903459145388032,2014-09-30 10:52:42,RT @golangprojects: #Hiring in #NYC: Senior Software Engineer at Enigma [@enigma_io] http://t.co/ygXYnmMBxf #python #ruby #golang #docker #…
514541284036714496,2014-09-23 22:26:16,"RT @digiphile: At #CFASummit, Mike Flowers is talking about his work on urban analytics at @NYCGov: http://t.co/BBltuWzdIh Read: http://t.c…"
512918556410146816,2014-09-19 10:58:08,Excellent! France names @HenriVerdier as Chief Data Officer - http://t.co/mBMZ779Ln0
512569694935851008,2014-09-18 11:51:53,@alafritz thanks!
512219969359450112,2014-09-17 12:42:11,"RT @mikeolson: Hey, Mike Flowers has landed. http://t.co/dOzg5ue18z"
510490555537973248,2014-09-12 18:10:07,RT @drewconway: Congrats to Mike Flowers and @enigma_io http://t.co/i1WtkE8l8m
510439988497244160,2014-09-12 14:49:11,RT @timoreilly: A lucky startup! enigma.io nabs Mike Flowers as Chief Analytics Officer http://t.co/bxK71Ejqvm
510422483837915138,2014-09-12 13:39:38,"Delighted to announce that Mike Flowers, former NYC Chief Analytics Officer, will be joining the Enigma team! http://t.co/SybMhH8OnK"
509013244330377216,2014-09-08 16:19:49,RT @Visually: Creating An #Infographic From Start To Finish http://t.co/fvXQm1Zcro via @enigma_io @Blockspring http://t.co/Pv3PkLWiV0
505808679657275392,2014-08-30 20:06:01,RT @pickover: Magnificent cross-section of an undersea cable. $400/foot. (photo: Ann Lingard) http://t.co/QYgfekuTCp
504746626238656512,2014-08-27 21:45:48,"RT @sahuguet: Go Enigma.
Go as in the language.
http://t.co/4bNfeie2vV
@enigma_io"
504273586148741120,2014-08-26 14:26:06,RT @DataKind: Hey #KDD2014!  Check out the talk going on in 10 min in NY Ballroom on our volunteers' work with @Give_Directly! http://t.co/…
504267365245526017,2014-08-26 14:01:23,"Proud that Enigma's @brianabelson is presenting ""Best Social Good Paper"" @kdd_news today - @DataKind @Give_Directly  http://t.co/JUmXU2IbH7"
